title,link,date,views,shares,question,answer,month_name,month,year,day,date_new,parsing_date,days_passed,hijri_month
діни тұрғыда музыкалық аспаптарды сатудың үкімі,https://islam.kz/kk/questions/sauda-sattyq/dini-turgyda-muzykalyq-aspaptardy-satudyn-ukimi-2068/,9 қазан 2023 ж. 14:57,2712,0,ассалямуалейкум ұстаз өз гитараңды сатып жіберуге бола ма тастай салу керек пе сындыру керек пе жоқ ақерке,әлхамдулилләһ уассаләту уәссәләму аля расулилләһ уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ құрметті сауал жолдаушы имам ағзам әбу ханифа рахимаһуллаһ музыкалық аспаптарды сатуға болады деген себебі музыкалық аспаптар да өз алдына дүние саналады ал музыкалық аспаптарды шариғат талаптарына сай келмейтін әндерге де қолданылуы мүмкін болуы оның сатылуын харам етпейді өйткені иесі оны пайдалы нәрсеге де қолдануы бек мүмкін құдды ән айтатын күңдер іспетті ән айтатын күңдерді ескі заманда ән айтқаны себепті сатуды харам демейтін еді бұл да осы сияқты сондықтан егер кімдекім біреудің музыкалық аспабын сындырса әбу ханифа бойынша құнын төлеуі тиіс бірақ оның қос шәкірті және үш мәзхаб имамдары музыкалық аспаптарды сатуды дұрыс көрмеген музыкалық аспаптарды сатуға болады дейтіндердің арасында заһири мәзхабының ғалымдары бар ал сондай пікірдегі бүгінгі дін ғалымдардың арасынан юсуф әлқардауиді атасақ болады қорыта айтқанда музыкалық аспаптарды сату мәселесі ислам ғалымдары арасында таласты тақырып имам ағзам әбу ханифаның тоқтамына сүйене отырып айтқанда гитараңызды сатып оның ақшасын пайдалана аласыз табысы адал осы орайда мына бір сахих хадис ойға оралып отыр имам бұхаридің сахих бұхари атты хадистер жинағындағы ер адамдар мен әйел адамдарға кию мәкруһ болып табылатын киімдерді сату тарауы атты бабында мынадай риуаят келтіріледі омарға радияллаһу анһу пайғамбарымыз саллаллаһу алейһи уә сәлләм таза жібек матадан тігілген киіс немесе жібек мата араласып тігілген киім беріп жібереді артынан омардың киіп жүргенін көрген алла елшісі оған мен оны саған кисін деп бермедім шынында бұл киімді бұзылған адамдар киеді немесе ақыреттен үміті жоқ адамдар киеді мен оны сен одан пайдалансын деп беріп жібердім дейді тағы бір нұсқасындасатып қажетіңді көрерсің деп беріп жібердімделінеді ең дұрысы аллаға мәлім әлхамдулилләһи раббиль аләмин абдусамат қасым  имам кәсәни ра бәдәиъуссанаиъу сауда бөлімі  имам бұхари сахих бұхари бәбут тижәрати фимә юкрәһу лүбсуһу лир рижәли уән нисәи  ибн хажар әласқалани фәтхуль бәри № хадис түсіндірмесі تَبِيعَهَا وَتُصِيبَ بِهَا حَاجَتَكَ кей мәліметте әзіреті омар ол киісті өзінің әлі мұсылмандыққа өтпеген мүшрік туысына бергендігі айтылады,October,10,2023,9,2023-10-09,2025-06-24,624,Rabi al-Awwal
бір адамды өсектесе одан кешірім сұрау керек пе,https://islam.kz/kk/questions/arturli/bir-adamdy-osektese-odan-keshirim-surau-kerek-pe-2406/,21 маусым 2025 ж. 15:06,399,0,ассаламуалейкумадамды сырттан өсектесе ол адам білмейсе одан кешірім сұрау керек пе,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ өсектеп ғайбаттаудың кешірімі – ғайбаттаған адамы үшін алладан жарылқау мен кешірім тілеу дейді сахаба әнәс ибн мәлік ра аятташынында жақсылықтар жамандықтарды кетіредіделінген һүд сүресі  аят ал өзінен барып кешірім сұрау мәселесіне келсек көпшілік ғалымдар оған айтпайақ сырттай тілеуін тілеп оған жақсылықпен дұға жасап тұружеткілікті оныңалдындағы өсектеу күнәсі жуылады дейді риуаяттарда абдулла ибн мүбәрактың мынадай сөзі келтірілгенегер бір адам басқа бір адамды ғайбаттаған болса ол жайында оған айтпасын бірақ ол үшін алладан жарылқау тілесін әлхамдулилләһи раббиль аләмин,June,6,2025,21,2025-06-21,2025-06-24,3,Dhu al-Hijjah
мұсылман емес елдерде шарап сынды харам заттарды сатуға болады деген пәтуа бар ма,https://islam.kz/kk/questions/sauda-sattyq/musylman-emes-elderde-sharap-syndy-haram-zattardy-satuga-bolady-degen-patua-bar-ma-2405/,19 маусым 2025 ж. 09:03,681,0,ассаляму алейкум уа рахматуллахи уа баракятух даруль харбта темекі немесе шарап сынды харам заттарды сатумен айналысатын адамға күнә емес деп айтады осы мәселеде не айтасыз ханафи мазхабының ғалымдары бұл жөнінде қандай пікірлерге тоқталды олжас,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ ислам шариғатында даруль харб даруль ислам және даруль ъаһд деген терминдер бар ханафи мәзхабында әбу ханифа мен имам мұхаммед бойынша даруль харб үкіміндегі елде шарап сатуға өсімге ақша беруге құмардан тапқан ақшаны берсе алуға тб исламда тыйым салған сауда түрлерін жасауға боладыалайда имам әбу юсуф бұл пәтуамен келіспеген ол ра бойынша қай елде болса да мұсылман адамға харам затты сатуына жол жоқ үш мәзхаб ғұламалары да осы ұстанымды дұрыс көрген мұсылман адам қай елде болса да харам заттарды саудалай алмайды дейді олар демек даруль харбта шарап сықылды харам затты сатуға болады деген пәтуа ислам ғалымдарының көпшілігі тарапынан қолдау көрмеген бүгінде дін ғалымдарының басым көпшілігінің байламы да осы жөнде сондықтан да мұсылман адамға қай елде жүрсе де діннің харам еткен дүниелерін сатуға және онымен табыс табуға болмайды бұл тоқтам исламның негізгі принциптерімен де көбірек ұштасады абдусамат қасым,June,6,2025,19,2025-06-19,2025-06-24,5,Dhu al-Hijjah
әйелдің өз күйеуінің тегін фамилиясын алуы күпірлік дегенді оқыдым ол қаншалықты рас,https://islam.kz/kk/questions/januya/otbasy/aieldin-oz-kuieuinin-tegin-familiyasyn-aluy-kupirlik-degendi-oqydym-ol-qanshalyqty-ras-2404/,17 маусым 2025 ж. 20:24,871,0,ассаламуғалайкум әлеуметтік желіде көрдім егер әйел күйенінің тегін алса ол күпірлік деп менің анам әкемнің фамилиясын алған ол тура мағынада күпірлікте жүр дегенді білдіре ме не істеу керек оған,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ құрметті сауал сұраушы әйел адамның өзінің некелі күйеуінің тегін алуы күпірлік деп айту қате қазіргі дін ғалымдары арасында әйелінің тегін алуға қатысты екі ұдай тоқтам бар бірақ ешбірі ондай әрекетті күпірлікке байламаған әріберіденсоң оны күпірлікке балау сүнниттік бағытқа теріс қорыта айтқанда абзалы әйел кісінің өз тегінде қалғаны алайда күйеуінің тегін фамилиясын алушының әрекетін де харам деу күмәнді ал оны күпірлікке балау негізсіз аллаһу аъләм әлхамдулилләһи раббиль аләмин,June,6,2025,17,2025-06-17,2025-06-24,7,Dhu al-Hijjah
намаз бастау тәкбірінде аллаһу әкбар дегеннің орнына басқа сөз қолданса бола ма,https://islam.kz/kk/questions/qulshylyq/namaz/namaz-bastau-takbirinde-allahu-akbar-degennin-ornyna-basqa-soz-qoldansa-bola-ma-2403/,16 маусым 2025 ж. 16:03,691,0,ассаляму алейкум уа рахматуллахи уа баракятух ұстаз ифтитах тәкбірі ретінде аллаһу акбардың орнына аллаһу ‘азза деп айтылу кейбір кітаптарда кездеседі екен ханафи мазхабы бойынша оның үкімі қандай олжас,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ намазды бастау тәкбірін шариғатта ифтитәх тәкбірі деп атайды ифтитах тәкбірінде аллаһу әкбар сөзі қолданылады одан өзге алланы мадақтайтын оны ұлықтайтын сөздердің бірін қолданса да намазды бастаған болады имам ағзам әбу ханифа рахимаһуллаһ бойынша намаздылә иләһә иллаллаһдеп бастаса даәлхәмдулилләһдесе десүбханаллатәбәракәллаһ аллаһу аъзамдесе де тіпті жай ғанааллаһ рахмандеген алланың есімін қолданса да намазды бастаған болады яғни ифтитәх тәкбірін алу парызы орындалады бірақаллаһуммағфирлиаллахым мені кешір аллаһуммарзуқни аллам мені ризықтандырдеген сөздер намазды бастауға жарамайды өйткені бұлар зікір емес тілек сөздер тілек сөздер ифтитах тәкбіріне қолдануға жарамсыз сауалдағы сөзге келсек сіздің айтып тұрғаныңыз аллаһу аъаззу сөзі болса керек ол азиз сөзінің исму тафдиль қалыбына жатады олай айтып намазды бастауға болады дегенмен өзге мәзхабтардың кейбірінде аллаһу әкбар сөзін қолдану шарт сондықтан да аллаһу әкбар деп бастаған абзал олай қолдану хадистерге де сүннетке де сай аллаһу аъләм әлхамдулилләһи раббиль аләмин,June,6,2025,16,2025-06-16,2025-06-24,8,Dhu al-Hijjah
күйеуім сен менің әйелім емессің талақ десе бұл талаққа жата ма,https://islam.kz/kk/questions/januya/talaq/kuieuim-sen-menin-aielim-emessin-talaq-dese-bul-talaqqa-jata-ma-2402/,12 маусым 2025 ж. 13:02,873,0,сәлеметсіздер ме күйеуім сен менің әйелім емессің талақ деді бұл талаққа жата ма одан кейін де екі рет талақ айтты біз не істейік некені қалай сақтауға болады,бисмилләһир рахманир рахим құрметті сауал жолдаушы күйеуіңіздің сен менің әйелім емессің талақ деген сөзі кіші байын талақүкімін тудырады өйткені ол сөзді талақ ету ниетімен айтқаны түсінікті болып тұр әлгіндей сөйлем құрамы шариғатта киная сөз табына жатады кинаяларда астарлы сөз айтушының ниеті маңызды егер ниеті талақ ету болса кіші байын талақ үкімі туындайды кіші байын талақ болған жағдайда неке бұзылады бірақ қайта неке жаңарту мүмкіндігі бар ендеше сіздердің жағдайда некелеріңіз бұзылған боп саналады қайта жаңартып алғандарыңыз дұрыс ал одан кейінгі кіші байын талақты тудырған сөзден кейінгі уақыттары айтылған талақ сөздері есептелмейді себебі неке бұзылғаннан соң айтылып тұр неке қалай жаңартылады неке жаңарту ісінде мәһр тағайындап екі куәгердің көзінше некенің ырымын жасасаңыздар жеткілікті жария ету сіздер үшін шарт емес немесе күйеуйіңізге өкілдік беріп сіздің атыңыздан некелеріңізді жаңартуға рұқсат берсеңіз болады неке жаңарту ісінде әйелі күйеуіненекемізді қию үшін сені өкіл тағайындадымдеп өзінің атынан некені жаңартуға күйеуіне өкілеттілік бере алады күйеуіәйелінің берген өкілдігі негізіндеекі куәгердің алдында былай дейдінекемде болған әйелімді оның маған берген өкілеттілігі негізінде өзімеқайтанекеледімдесе некелері жаңартылған болады бастысы әйелінен өкілеттілік алған болуы керек әйелінен неке жаңартуға өкілдік алмай күйеуі оның атынан неке жаңарта алмайды аллаһу аъләм әлхәмдулилләһи раббиль аләмин,June,6,2025,12,2025-06-12,2025-06-24,12,Dhu al-Hijjah
амандасқанда сәлеміңді алмаса періште алады деген сөз бар сол қаншалықты рас,https://islam.kz/kk/questions/aqida-senim/amandasqanda-salemindi-almasa-perishte-alady-degen-soz-bar-sol-qanshalyqty-ras-2401/,9 маусым 2025 ж. 13:44,1081,0,ассаламуғалайкум мен естіп едім егер сенің сәлеміңе біреу жауап бермесе көңіліңді түсірме періштелер жауап береді дегенді сол рас па екен нұрлыбек,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ құрметті сауал жолдаушы пайғамбарымыз сау бір сөзінде сәлемді жайыңдар дей отырып кісіге амандасудың сауаптылығын білдірсе басқа бір асыл сөзінде танитыныңмен де танымайтыныңмен де сәлемдесуің ең қайырлы іс деген ал енді әлдекім сіздің сәлеміңізді алмай жауап қатпаса оның орнына сіздің сәлеміңізді періште алады періште жауап қайырады уағалейкумуссәләм дейді бұған қатысты бір сахих хадисте алла елшісі сау былай дегенсәлемдескен кезде сәлемін алмаса және сәлемін қабылдамаса оның сәлеміне періштелер жауап береді ал сәлемін алмай қойғанға шайтан жауап береді сәлемін алады,June,6,2025,9,2025-06-09,2025-06-24,15,Dhu al-Hijjah
құрбанға байланысты әртүрлі  сұрақ,https://islam.kz/kk/questions/qulshylyq/qurban/qurbanga-bailanysty-arturli-4-suraq-2400/,5 маусым 2025 ж. 15:27,1023,0,,аталған малды құрбандыққа союға бола ма сізге аталған мал болса ол сіздің дүниеңіз оны құрбандыққа шалуға еріктісіз ал басқа біреуге аталған малды егесінің рұқсатынсыз шалуға болмайды құрбан айт күні тұсау кестіруге бола ма құрбан айттың өзі мейрам онымен тұсау кесу мейрамын бірге қосып атқарып жатса мейрамның шырайын келтіре түсері анық әбестігі жоқ құрбандыққа шалынатын малды сатып алу міндет пе әлде қорадағы малды шалуға бола ма құрбандыққа мал сатып алу шарт емес қорадағы малдың бірін шалса да есептеледі егер қой малы қымбатқа түсіп жатса ешкі малын шалуға да болады малдың құлағында ен болса құрбандыққа жарамды ма құлағында ен бар мал құрбандыққа жарамды бірақ құлағының үштен бірі немесе жарымынан көбі кесілген болса жарамайды ал құлағының ұшы кесілсе немесе құлағы тілінсе оның құрбандыққа кедергі тұсы жоқ алла құрбандарыңызды қабыл етсін,June,6,2025,5,2025-06-05,2025-06-24,19,Dhu al-Hijjah
хабашит деген кімдер,https://islam.kz/kk/questions/aqida-senim/habashit-degen-kimder-589/,25 ақпан 2016 ж. 13:07,14842,270,,уағалейкум әссәләм уә рахматуллаһи уә бәракәтуһ қадірменді сауал жолдаушы хабашит хабашия немесе ахбаш – қазіргі таңда бой көрсетіп отырған ислами ұйымдардың бірі орталығы ливан елінде орналасқан көсемдері эфиопиялық абдулла әлһарари әлхабаши болып табылады  ж ұйымның атауы көсемінің шыққан тегіне орай хабашия деп аталған аталмыш ұйым әлжәмъиятуль мәшәриъил хайриятиль исламия деген атпен де белгілі олар өздерін әһли сүннет жолындамыз деп көрсеткенімен басты сенімдері сунниттік шиіттік және сопылық негіздерден құралған деседі мамандар бүгінгі жолданған сұраққа арқау болып отырған тақырыпқа байланысты жазылған қолымыз жеткен деректерге сүйенер болсақ ол жамағаттың әһли сүннетке қайшы келетін жақтары аз емес мысалы хабашия ағымындағылардың өздерінің пікірлеріне қарсы келгендерді бірден кәпірге шығару әдеттері бар ал әһли сүннет ғалымдары ешкімді жөнсіз кәпірге шығармаған тіпті ертеректегі бой көрсеткен адасушы ислами ағымдардың көбін әһлу қибля яғни қыбла иесі деп атап кәпір ретінде есептемеген сондайақ хабашиттер әзіреті әли заманында орын алған бүлік кезінде әзіреті әлиге қарсы тұрған сахаба мұғауия мен жанындағыларды бағи бүлікші ретінде есептейді осыған қарағанда жәмәл соғысындағы әзіреті айша анамыз талха зубейр сынды сахабалар да бағи яғни бүлікшілер қатарына кіреді деген сөз бұл әһли сүнна ұстанымына қайшы әһли сүннет сенімінде cахабалардың бәрін жақсылықпен тілге алу шарт әзіреті мұғауия да ардақты сахабалардың бірі пайғамбарымыздың заманында әзіреті мұғауия түскен уахиларды жазып отырушы құран кәтибтерінен етін оған пайғамбарымыз өзінің көйлегін сыйға тартқан әзіреті мұғауи сахаба ретінде құрметке лайық жан тіпті ертеректе өмір сүрген кейбір ғалымдар сахаба мұғауияға тіл тигізгендерді өлім жазасына тарту керек деген тұжырым алға тартады әһли сүннет сенімінде ешкімнің сахабаларға тіл тигізуге хақысы жоқ сондайақ хабашиттердің ойынша кедей мұсылманға лоторея ойынын ойнауға болады бай мұсылманға болмайды екен жəне олардың пайымдауынша бүлік шықпайтын болса өзге діндегілердің дүниемүлкін ұрлауға болады және доллармен жиналған ақшаның зекеті жоқ зекет тек алтын не күмістен беріледі деген осы жамағаттың кесірінен америка мен канада еліндегі мұсылмандар екіге бөлініп намаз оқиды деген мәлімет те бар бір бөлігі намазды оңтүстік шығысқа қарап оқыса тағы бір бөлігі солтүстік батысқа қарап оқиды қазіргі таңда аталмыш жамағаттың орталықтары дүниенің түкпіртүкпірінде орналасқан айталық австралия швеция франция белгия англия германия ресей тайван индонезия малазия үндістан пакистан тәжікістан мысыр нигерия гана тб әлем елдерінде хабашиттер өздерінің үгітнасихаттарын белсенді түрде жаюда хабашит жамағаты жайында беделді ғұламалардың айтқан пікірлері хабашит жамағаты жайында қазіргі таңдағы беделді ислам ғалымдары қандай пікірде екен соған назар аударалық хабашит ұйымының сыртқы және ішкі жасырын екі түрлі тұсы бар дейді мысыр елінің бұрынғы бас мүфтиі али жұма жария тұсын айтар болсақ өздерін сырт көзге амалда шафиғи мәзхабын сенімде ашғари ақида мектебін ұстанады етіп көрсетеді ал ішкі жасырын тұсына келер болсақ кей мұсылмандарды жөнсіз кәпірге шығарып кейбірін пасық дейді олар үмбеттің арасына бүлік жайды астыртын ислам дұшпандарымен ақыға ынтымақтасып іс істегендері де белгілі мархұм рамазан әлбути ра хабашиттер жайында былай деген хабашиттердің бейрутта абдулла әлһарари есімді басшылары бар олар өздерінің мешіттерінде уахабистердіңартында тұрып намаз оқуға болмайды олардың көсемі ибн тәймия – кәпір деп айтады мен айтайын уахабидің артында ұйып намаз оқу харам емес ұюшының намазы дұрыс сондайақ кәпір болған күйі өлгендігін нақты білмей тұрып ешқандай мұсылманды кәпірге шығаруға болмайды ендігі жерде адамдардың арасында кім ибн тәймия өлер алдында ислам жолынан ауытқып мүртәд болып кәпір болғанкүйіөлді деп айта алады сіз сұрап отырған жамағат көптеген мұсылмандарды кәпірге шығарғанолар мүтәуәлли әшшәърауиді қардауиді және мені де кәпірге шығарған фиқһ ғалымы профдоктор уаһбату зухайли да ра хабашиттерге байланысты ойын былай білдірген хабашиттер – адасушы және адастырушы ұйым олардан ұзақ жүру керек және өзгелерге де ескерту керек олардан алыс жүрсін олар – бүлік шығарушылар адамдарға өздерінің нәпсілеріне сай пәтуа береді халалды – харам харамды – халал деп жүр оның үстіне олардың сыртқы мемлекеттермен ынтымақтасып астыртын байланыс құрады деген күмән да жоқ емес сондықтан да олардан өте сақ болу қажет мен олардың өзге мұсылман жастардың сақ болуларын өтінемін,February,2,2016,25,2016-02-25,2025-06-24,3407,Jumada al-Awwal
жұма күні мал союға болмайды деген сөз естідім сол дінде бар ма,https://islam.kz/kk/questions/qulshylyq/qurban/juma-kuni-mal-soyuga-bolmaidy-degen-soz-estidim-sol-dinde-bar-ma-2399/,3 маусым 2025 ж. 10:53,1277,0,ассаламу алейкум менің сұрағым біз ауылдағы үлкен ақсақалдар мен ауылдың молдасы айтатын жұма күні мал сойылмайды жұма намазға дейін деп бұл фиқһ кітаптарда олай келмеген бұл дәстүрде негізі бар нәрсе ма алдын ала рақмет қалмырза абайұлы,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ бисмилләһир рахманир рахим жұма күні намазға дейін құрбан шалуға болмайды деген түсінік ислам дінінің шиіт ағымында бар олар оған байланысты өздерінің имамдарынан жеткен мынадай риуаятты келтіредіалла елшісі сау жұма күні намаздан бұрын қан ағызып мал союды мәкруһ санады бірақ мәжбүрлік болса ол басқаделінген алайда бұл риуаят сунниттік хадис жинақтарында орын алмаған және хадистің растығында күмән бар сондықтан да ислам дінінде жұма күні мал сойыла береді оның діни тұрғыда әбестігі жоқ бірақ жұма намазына кешігіп қалмас үшін мал сою ісін ертерек қамданған жақсы осы тұрғыда құрбан айт күні малды қашан соямыз деген де сауал келуі мүмкін оған қатысты айта кетелік құрбан айттың бірінші күні құрбан шалатын кісі құрбанынайт намазы оқылып болғаннан соң шалулары тиіс айт намазы оқылмай тұрып құрбан шалынбайды аллаһу аъләм,June,6,2025,3,2025-06-03,2025-06-24,21,Dhu al-Hijjah
