title,link,date,views,shares,question,answer,sources,month_name,month,year,day,date_new,parsing_date,days_passed,hijri_month
Можно ли мусульманке выйти замуж за атеиста?,https://islam.kz/ru/questions/semya/nikyah/mojno-li-musulmanke-vyiti-zamuj-za-ateista-320/,"22 декабря 2025 г., 15:09",481,0,А что если я выйду замуж за атеиста? Считается ли такой брак действительным?,"Бисмилляхир-рахманир-рахим

Согласно исламскому шариату, мусульманская женщина может выходить замуж только за мусульманина. Выходить замуж за немусульманина ей запрещено. В Коране об этом говорится так:

«Мусульманки не дозволены им (неверующим), и они не дозволены мусульманкам» (сура «аль-Мумтахина», аят 10).

Под мусульманином понимается человек, который верит в единственность Аллаха и признаёт пророка Мухаммада ﷺ Посланником Аллаха.

Атеист, поскольку он не верит в основы веры (иман), мусульманином не считается. Поэтому создание семьи мусульманки с мужчиной-атеистом с точки зрения Ислама является тяжким грехом и запретным (харам) деянием. Даже если такой брак будет заключён, с точки зрения шариата он не считается действительным, а отношения между ними расцениваются как прелюбодеяние (зина).

Столпы веры (иман):вера в Аллаха;вера в Его ангелов;вера в ниспосланные Им Писания;вера в Его пророков;вера в Судный день;вера в предопределение — что и добро, и зло исходят от Аллаха.

Доказательства

Положение о том, что мусульманская женщина может выходить замуж только за мусульманина, основывается на следующих аятах Корана:

«Не выдавайте верующих женщин замуж за многобожников, пока они не уверуют. Поистине, верующий раб лучше многобожника, даже если тот вам нравится. Они призывают к Огню, а Аллах призывает, по Своему дозволению, к прощению и Раю. Он разъясняет Свои знамения людям — быть может, они задумаются»¹.

«Если вы узнали, что они являются верующими, то не возвращайте их неверующим. Мусульманки не дозволены им, и они не дозволены мусульманкам»².","¹ Священный Коран, сура «аль-Бакара», аят 221.
² Священный Коран, сура «аль-Мумтахина», аят 10.",December,12,2025,22,2025-12-22,2026-01-08,17,Rajab
«Можно ли носить часы на левой руке? Не противоречит ли это сунне?»,https://islam.kz/ru/questions/raznoe/mojno-li-nosit-chasy-na-levoi-ruke-ne-protivorechit-li-eto-sunne-319/,"11 ноября 2025 г., 15:57",743,0,"Нурлыбек Сабыргалиев: Ассаляму алейкум, устаз! Можно ли носить наручные часы на левой руке? Некоторые говорят: «Нужно носить на правой, потому что Посланник Аллаха ﷺ любил всё, что связано с правой стороной». Но, как мне кажется, этот хадис не имеет отношения к ношению часов. Или я ошибаюсь и поступаю не по сунне?","Бисмилляхир-рахманир-рахим. Ва алейкум ассалям ва рахматуллахи ва баракатух!

Мусульманину разрешается носить часы как на правой, так и на левой руке — в зависимости от удобства. С религиозной точки зрения в этом нет ничего предосудительного. Из достоверных преданий мы узнаём, что Пророк Мухаммад (мир ему и благословение Аллаха) иногда носил перстень на правой руке, а иногда — на левой(1). Поэтому по мазхабу Имам Абу Ханафи считается предпочтительным носить перстень на левой руке, хотя ношение на правой тоже не является порицаемым(2).

Следовательно, человек может носить часы на той руке, на которой ему удобнее — будь то правая или левая. Это не противоречит сунне.

Альхамдулилляхи раббиль алямин!

Абдусамат Касым","1) Сподвижник Анаc (да будет доволен им Аллах) сказал:
«Перстень Посланника Аллаха ﷺ был на этом пальце», — показав на мизинец левой руки.
(Имам Муслим, Сахих Муслим).
2) Ибн Абидин, Радд аль-Мухтар.",November,11,2025,11,2025-11-11,2026-01-08,58,Jumada al-Awwal
Разрешено ли в исламе праздновать Хэллоуин?,https://islam.kz/ru/questions/veroubejdenie/razresheno-li-v-islame-prazdnovat-hellouin-318/,"31 октября 2025 г., 20:11",1019,0,Каково исламское отношение к празднованию Хэллоуина?,"«Хэллоуин»— это праздник, берущий свое начало от древнего кельтского торжества«Самхейн» (Самайн), которое отмечали народы, населявшие территорию древней Британии и Ирландии. По сути, это своего рода «фестиваль язычников». Кельты праздновали Самхейн1 ноября, считая этот день началом нового года: осень завершалась, и начиналась зима — то есть «сезон тьмы». Согласно их представлениям, год делился на две части —время светаивремя тьмы.

Кроме того, кельты верили, что между миром живых и миром мёртвых существует некая преграда. В ночь на Самхейн, то есть31 октября, эта преграда якобы временно исчезает. Души умерших за прошедший год в эту ночь переходят в иной мир, а души, умершие ранее, временно возвращаются в мир живых, чтобы навестить своих родственников. По этой причине кельты оставляли двери домов открытыми и ставили за столом пустые стулья для духов предков.

Так как в эту ночь могли являться и злые духи, кельты разжигаликостры на вершинах холмов, чтобы отпугнуть их, а также надевалимаски, чтобы злые духи не узнали их.

Позднее земли, населённые кельтами, были завоёваныримлянами, которые принесли с собой свои праздники — день поминовения умерших и праздник в честьбогини плодов и урожая Помоны. Со временем эти традиции слились с кельтскими, в результате чего возникли обычаи наряжаться в маскарадные костюмы и украшать овощи (в частности, тыквы) как символ связи между духами, привидениями и миром мёртвых.

В этом контексте традиция надевать страшные костюмы на Хэллоуин объясняется как способотпугнуть злых духов.

Согласно шариату,празднование Хэллоуина в Исламе является «харам» — запретным делом. Это грех. В достоверном хадисе сказано:«Кто уподобляется какому-либо народу — тот из них».Следовательно, мусульманин, отмечающий Хэллоуин, подражает языческому народу (ведь кельты были многобожниками).

Во-первых, ложные верования, лежащие в основе Хэллоуина, противоречат основам исламской веры. Если мусульманин празднует Хэллоуин, он тем самымпропагандирует неверные, неисламские убеждения, что является грехом.

Во-вторых, сам Хэллоуин противоречитнравственности и воспитанию— это дело, исходящее от шайтана. Поэтому для всех мусульманотмечать Хэллоуин — запрещено (харам)и противоречит религии. (перевод с казахского оригинала).",,October,10,2025,31,2025-10-31,2026-01-08,69,Jumada al-Awwal
"«Раньше часто проклинал родственников, теперь раскаиваюсь. Как быть?»",https://islam.kz/ru/questions/raznoe/ranshe-chasto-proklinal-rodstvennikov-teper-raskaivayus-kak-byt-317/,"28 октября 2025 г., 14:37",502,0,"Ассаламу алейкум!Раньше у меня были конфликты с родственниками, и я в гневе произносил(а) в их адрес проклятия. Иногда это повторялось. Сейчас я сильно сожалею об этом и чувствую страх. Что мне делать? Если я раскаюсь и буду читать аяты из Корана, уйдёт ли это? Анонимно.","Бисмилляхир-рахманир-рахим

Уа алейкум ассалям ва рахматуллахи ва баракатух!

Произнесение проклятий (қарғыс) в нашей религии не одобряется. Пророк Мухаммад (мир ему и благословение Аллаха) сказал:

«Не проклинайте друг друга!»¹В другом хадисе он сказал:«Воистину, часто проклинающие не будут ни свидетелями, ни заступниками в День воскресения»².

Безосновательные проклятия могут рассматриваться как посягательство на права других людей.

Поэтому вам следует отказаться от этой привычки и искренне покаяться. Аллах прощает тех, кто исправляется. Также желательно после молитвы делать дуа за тех, кого вы когда-то проклинали, желая им добра — это и будет своего рода искуплением. В Коране сказано:

«Воистину, добрые дела устраняют плохие»³.","¹ Хадис: «Не проклинайте друг друга проклятием Аллаха, Его гневом и адом!» (ат-Тирмизи).
² Хадис: «Я слышал, как Посланник Аллаха (мир ему) сказал: “Воистину, у тех, кто часто проклинает, не будет ни заступников, ни свидетелей в День воскресения”» (Сахих Муслим).
³ Священный Коран, сура «Худ», аят 114.",October,10,2025,28,2025-10-28,2026-01-08,72,Jumada al-Awwal
"Проверка на инфекционные заболевания перед браком: Допустимо ли с точки зрения религии, или это считается противоречием судьбе?",https://islam.kz/ru/questions/semya/nikyah/proverka-na-infektsionnye-zabolevaniya-pered-brakom-dopustimo-li-s-tochki-zreniya-religii-ili-eto-schitaetsya-protivorechiem-sud-316/,"25 октября 2025 г., 17:16",521,0,"Здравствуйте! Прошу прощения, я хотела бы выяснить: вправе ли девушка потребовать от парня, за которого собирается выйти замуж, пройти обследование с целью выявления инфекционных заболеваний? Просто в наше время мы читаем и слышим о множестве разных ситуаций. Чтобы не пострадать в будущем, как расценивается такой шаг с точки зрения религии? Не является ли это противостоянием судьбе? Анонимно.","Во имя Аллаха, Милостивого, Милосердного (Бисмилляхир-Рахманир-Рахим)

Как девушка, так и парень, вправе потребовать от своего будущего спутника жизни пройти до брака медицинское обследование для выявления инфекционных или наследственных заболеваний. Это дело добровольное и не считается проявлением недовольства судьбой.

Однако, если у одного из них будет выявлено инфекционное заболевание, скрывать это – харам, то есть тяжкий грех. Если по причине этого сокрытия вторая сторона заразится или скончается, то сторона, скрывшая болезнь, будет нести полную ответственность за все последствия (наказания и компенсации) в соответствии с установлениями Шариата.

Также, если будет доказано, что один из них страдает инфекционным или наследственным заболеванием, которое негативно сказывается на целях брака, вторая сторона вправе отказаться от этого брака¹.

Тем не менее, не следует выставлять на всеобщее обозрение и позорить сторону, у которой обнаружилась болезнь; будет правильнее, если это останется тайной между ними. Лучше подбодрить [этого человека], сказав слова, дающие надежду на то, что он(а) сможет вылечиться и в будущем создать семью.

Аллаху ведомо лучше! (Истину знает лишь Аллах!)

(перевод с казахского оригинала)","¹ «Европейский Совет по Фетвам и Исследованиям» – 14-я сессия. Дублин, 14-18 Раджаб 1426 г.х. / 23-27 августа 2005 г. Доктор Али Карадаги, «аль-Кадая ат-Тыббия аль-Муасыра».",October,10,2025,25,2025-10-25,2026-01-08,75,Jumada al-Awwal
"Становится ли неверующим тот, кто считает курение халялным?",https://islam.kz/ru/questions/veroubejdenie/stanovitsya-li-neveruyushim-tot-kto-schitaet-kurenie-halyalnym-315/,"20 октября 2025 г., 19:10",653,0,"Уа алейкум ассалам!Разрешите добавить к этому вопросу: сигареты (электронные или обычные) — это халал, полностью харам или что-то среднее между ними? Если это харам, то насколько тяжким будет грех, если человек курит, считая это дозволенным? И если ему скажут, что это харам, но он не примет это, выходит ли он из Ислама? Ерасыл","Бисмилляхир-рахманир-рахим

Уа алейкум ассалам ва рахматуллахи ва баракатух!

В наши дни большинство учёных ислама пришли к выводу, что курение являетсяхарамом. Ранее были учёные, которые считали курениемакрухом(нежелательным), некоторые даже говорили, что ономубах(дозволено), но и тех, кто называл егохарамом, тоже было достаточно¹. Сегодня уже не секрет, что вред табака для человечества научно доказан. Учитывая, что это вредная привычка, приводящая к смерти, исламские учёные вынесли решение о её запретности (харамности). В Коране говорится:

«Он разрешает им хорошее и запрещает им скверное»².

Всё человечество признаёт, что курение не относится к числу хороших вещей.

Однако если мусульманин считает курениехалаломи говорит, что курить можно, —он не выходит из Ислама, и не становится муртаддом. Потому что это относится к разрядуиджтихадийных вопросов, то есть таких, по которым нет прямого, однозначного указания в Коране или хадисах, а решение по ним выведено позже.

Действительно, существует правило:«Тот, кто называет харам — халалом, выходит из религии».Однако это правило касается только тех запретов, которые установленыясными и недвусмысленными (катъи) доказательствамииз Корана, хадисов и единогласного мнения учёных.Примеры таких запретов:употребление свинины, вина, воровство, зина и т.п.Если мусульманин назовёт такие вещи халалом — он выходит из религии.

А если речь идёт о вещах, харамность которых не имеет прямого и категорического подтверждения в Коране и сунне,но выведена учёными на основе общих принципов шариата(или по которым существует разногласие ученых), — человек, считающий их дозволенными,не становится неверующим.

Таким образом, харамность курения относится именно киджтихадийным вопросам. Поэтому если мусульманин отрицает его запрет и считает курение дозволенным, онне выходит из Ислама, но при этомнесёт грех, ведь, считая допустимым вредное, он тем самым склоняет других к вреду. Этого самого уже достаточно как тяжкого бремени.

В этом контексте уместно привести словаимама ан-Навави (рахимахуллах):

Итак, постановление о харамности курения —иджтихадийное. А «иджтихадийное» означает —вопрос, по которому нет ясного и категорического доказательства в аятах и хадисах.Отрицание такого решенияне делает человека неверующим, однако он берёт на себя грех, поскольку отвергает мнение всех учёных, основанное на принципах шариата.

В Исламе есть строгие условия и критерии для того, чтобы назвать кого-либо муртаддом (вероотступник).Такое обвинение допускается только при наличии точных и недвусмысленных (катъи) доказательств. Но даже если какое-то запретное действие не выводит человека из религии — это не значит, что его можно совершать.

Аллаху аълям! Поистине, Аллах знает лучше!

Как говорил Ибн Мас‘уд (радияллаху анху):«Еслито что я сказал правдивы, то это от Аллаха, а если ошибочны — то от меня и от Шайтана».

Абдусамат Касым, islam.kz(Перевод выполнен с казахского оригинала)","¹ Подробнее об этом:
«Что говорили учёные ранних времён о курении?»
² Коран, сура «А‘раф», 157 аят.
³ Имам ан-Навави, «Раудат ат-Талибин».",October,10,2025,20,2025-10-20,2026-01-08,80,Rabi al-Thani
Мнение исламских учёных прошлых веков о курении,https://islam.kz/ru/questions/raznoe/mnenie-islamskih-uchenyh-proshlyh-vekov-o-kurenii-314/,"14 октября 2025 г., 18:37",504,0,"Ассаляму алейкум! Можно ли курить?В Коране и Сунне прямого указания на это нет, и учёные разделились во мнениях. Значит, человек может выбрать сам? — Салман.","Уа алейкум ассалам, уважаемый Салман!

Вы правы: во времена Пророка Мухаммада (мир ему и благословение) табака ещё не существовало, поэтому в Коране и хадисах не приводится его конкретный шариатский статус. По этой причине до XX века, то есть до того, как учёные доказали вред табака, исламские богословы придерживались трёх различных мнений:

1. Мнение тех, кто считал курение дозволенным (мубах):Чтобы объявить что-либо запретным (харам) или нежелательным (макрух), необходимо иметь прямое шариатское основание. В отношении табака такого доказательства не было. Кроме того, тогда ещё не было известно, что табак вредит организму, вызывает зависимость или влияет на разум. Поэтому, согласно общему шариатскому принципу«основное положение всех вещей — дозволенность»(аль-аслу фил-ашья’ аль-ибаха), они относили курение к разрешённым действиям.

2. Мнение тех, кто относил курение к макруху:Пророк (мир ему и благословение) сказал, что человеку, съевшему чеснок, нежелательно приходить в мечеть — из-за неприятного запаха. Аналогично, от курильщика исходит неприятный запах, мешающий окружающим, поэтому такое поведение признано макрух — нежелательным.

3. Мнение тех, кто объявил курение харамом:Хотя табак не вызывает опьянения, он ослабляет человека, расслабляет его тело и суставы. В хадисе, переданном имамом Ахмадом ибн Ханбалем, говорится:«Посланник Аллаха запретил всё, что опьяняет и ослабляет тело».Исходя из этого, часть учёных пришла к выводу, что курение следует считать харамом — запретным.[1]

Один из ханафитских учёных прошлого времени подвёл итог следующим образом:

«Чтобы определить, является ли табак халяль или харам, нужно опираться на два принципа:Первый — всё полезное дозволено;Второй — всё вредное запрещено.Следовательно, если будет установлено, что табак вреден и не несёт пользы, — он считается харамом. Если же вред не доказан, — остаётся дозволенным.»[2]

Вывод:Сегодня научно подтверждено, что курение наносит огромный вред здоровью человека. Это признают все специалисты в области медицины. Поэтому современные исламские учёные единодушно постановили, что курение является харамом — запретным.А истину лучше всех знает Аллах.

Абдусамат Касым, islam.kz(Перевод выполнен с казахского оригинала)","[1] Ибн Абидин. Радд аль-Мухтар, т.10, с.43.
[2]
Аль-Фатауа аль-Хамидия — Масāилун ва фаваидун шатта — шурб ад-духан.",October,10,2025,14,2025-10-14,2026-01-08,86,Rabi al-Thani
«Разрешается ли женщине во время месячных читать Коран про себя с телефона?»,https://islam.kz/ru/questions/dlya-jenshin/razreshaetsya-li-jenshine-vo-vremya-mesyachnyh-chitat-koran-pro-sebya-s-telefona-313/,"12 сентября 2025 г., 17:06",1474,0,,"Уа алейкум ассалам ва рахматуллахи ва баракатух!

В книгах фетв ханафитских учёных сказано, что во время менструации, послеродового кровотечения или состояния джанаба разрешается смотреть в Коран[1]. Когда учёные говорят «смотреть в Коран», это означает – можно читать его про себя, не беря мусхаф в руки. Шафиитский учёный Имам ан-Навави (р.а.) также упоминал, что по этому вопросу нет разногласий среди учёных. В одном из своих трудов он (р.а.) пишет:

Следовательно, во время менструации можно мысленно читать аяты или суры Корана с телефона или компьютера, не двигая губами и не произнося их. Но в это время (так же как и при джанабе) запрещается даже шёпотом читать Коран вслух, прикасаться напрямую к самому мусхафу и входить в мечеть.

Возникает вопрос: что делать учительницам Корана и девушкам-ученицам, которые постоянно заучивают аяты? На эту тему у нас есть отдельная статья«Заучивание Корана во время хайза… », с которой можно ознакомиться на сайте.

Абдусамат Касымislam.kz","[1] «Фатава аль-Хиндия», 1/43.
[2] «аль-Маджмуъ шарх аль-Мухаззаб».",September,9,2025,12,2025-09-12,2026-01-08,118,Rabi al-Awwal
«Истимна» рукой супруги: мнение ученых,https://islam.kz/ru/questions/semya/istimna-rukoi-suprugi-mnenie-uchenyh-312/,"27 августа 2025 г., 18:39",1534,0,Могут ли супруги доставлять друг другу удовлетворение рукой (совершать взаимную мастурбацию)? Дозволено ли им прикасаться к половым органам друг друга с этой целью?,"Прежде всего отметим: большинство ученых-богословов считают «истимна» (мастурбацию)запрещенным(харамом) или жемакрухом, близким к хараму. Однако, если существует реальная опасность впасть в прелюбодеяние (зина), тогда, как исключение, допускается прибегнуть кистимнадля удержания себя от большего греха. Конечно же, лучший путь обуздания страстей – это брак или соблюдение поста.

Что касается того, чтобы мужу удовлетворяться рукой своей жены, то в этом ученые усматривают дозволенность. Так, шафиитский ученый Закария аль-Ансари (1420–1520 гг.) сказал:«Мужчина может удовлетворять себя рукой своей жены или своей невольницы…»(Надо пояснить: во времена упомянутого ученого рабство существовало во всем мире, поэтому в старинных трудах нередко упоминаются отношения между хозяином и невольницей. Сегодня же рабство полностью упразднено).

Ханафитский ученый Алауддин аль-‘Аскяфи (1616–1677 гг.) пишет:«Если мужчина позволит своей жене или невольнице играть с его половым органом, и в результате произойдет семяизвержение, это считается макрухом, но никакого наказания (тазир) за это не полагается».

Комментируя эти слова, Ибн Абидин поясняет:«Как ясно видно, здесь под словом “макрух” подразумевается легкая форма макруха…»– и далее добавляет:«В разделе о нарушении поста мы приводили из книги “Ми‘радж” такие слова: “Допускается совершать истимна рукой своей жены или невольницы”».

Исходя из всего этого, можно сделать вывод: если мужчина удовлетворяется рукой своей законной супруги, в этом нет греха – это дозволенное действие.

Истинное знание принадлежит лишь Аллаху.Хвала Аллаху, Господу миров!(перевод с казахского оригинала)",,August,8,2025,27,2025-08-27,2026-01-08,134,Rabi al-Awwal
Можно ли работать в страховых компаниях с точки зрения религии?,https://islam.kz/ru/questions/torgovlya/mojno-li-rabotat-v-strahovyh-kompaniyah-s-tochki-zreniya-religii-311/,"23 августа 2025 г., 21:01",795,0,Можно ли работать в страховых компаниях с точки зрения религии?,"Бисмилляхир-Рахманир-Рахим

Поскольку система страховых компаний основана на «гараре» (неопределённости, вероятности), в Исламе она считается запретной (харам). В решении Международного совета по фикху говорится:

Исходя из этого, работа в современных, не основанных на исламских принципах страховых компаниях, недопустима. Ведь они включают в себя элементы ростовщичества и «гарара». Однако некоторые учёные считают, что если человек не имеет другой возможности для заработка, он может временно работать там по необходимости. Ведь Всевышний сказал: *«А если вы вынуждены, то это другое»*².

Всё же истинное знание принадлежит одному Аллаху.Хвала Аллаху, Господу миров!(перевод с казахского оригинала)","¹ Международный совет по фикху, декабрь 1985 г., Джидда.
² Священный Коран, сура «Аль-Ан’ам», 119 аят.",August,8,2025,23,2025-08-23,2026-01-08,138,Safar
